#{"t_start": 1782138123.3904839, "env_id": "FetchReach-v4"}
r,l,t
-1.350167,50,1246.269049
-1.071567,50,1247.581188
-1.132613,50,1248.531585
-0.894979,50,1249.815888
-0.619974,50,1251.459121
-0.694039,50,1252.64249
-1.366388,50,1254.09092
-1.622643,50,1255.433505
-0.836631,50,1257.042108
-1.230138,50,1258.40844
-1.103834,50,1259.781384
-0.711381,50,1260.900857
-1.226859,50,1262.293587
-1.203774,50,1263.657102
-1.227828,50,1264.917027
-1.092773,50,1265.980189
-0.630168,50,1267.573711
-1.472137,50,1268.853413
-1.451129,50,1270.277799
-0.570467,50,1271.47899
-0.975612,50,1273.107404
-0.334547,50,1274.369686
-1.126101,50,1275.629946
-1.504479,50,1276.998172
-1.946745,50,1278.612049
-1.105533,50,1280.084937
-1.110357,50,1281.493705
-0.961436,50,1282.883067
-1.312322,50,1284.270571
-1.104182,50,1285.604771
-1.148222,50,1287.041102
-1.066831,50,1288.463269
-1.408724,50,1290.031912
-1.258619,50,1291.175504
-1.013263,50,1292.410774
-1.241626,50,1293.739585
-1.188436,50,1295.386346
-1.065612,50,1296.826734
-1.372128,50,1298.268799
-2.058577,50,1299.715051
-1.08139,50,1301.389345
-0.675042,50,1302.627686
-1.207703,50,1304.065072
-2.060077,50,1305.450608
-1.449755,50,1306.877087
-1.086191,50,1308.237788
-1.126923,50,1309.684634
-1.353894,50,1311.122557
-1.671898,50,1312.448222
-1.096222,50,1313.755556
-1.050636,50,1315.023637
-0.897642,50,1316.053918
-1.290277,50,1317.634329
-2.372609,50,1318.492507
-1.326154,50,1320.072198
-1.37949,50,1321.476497
-1.356902,50,1323.04677
-1.339373,50,1324.413814
-1.074065,50,1325.708345
-1.165605,50,1327.113429
-1.153845,50,1328.722698
-1.081903,50,1329.897902
-1.320659,50,1331.225923
-1.099058,50,1332.508767
-1.016245,50,1334.185837
-1.434944,50,1335.268159
-1.134494,50,1336.677615
-0.969913,50,1337.86312
-0.616414,50,1339.440842
-1.258507,50,1340.724102
-1.175699,50,1342.118867
-0.660332,50,1343.573793
-1.367319,50,1344.985677
-0.672289,50,1346.503051
-1.103203,50,1347.914021
-1.30992,50,1349.336379
-1.413685,50,1351.062802
-1.247948,50,1352.495662
-1.100778,50,1353.918487
-1.160215,50,1355.275437
-1.575159,50,1356.637935
-1.179139,50,1357.591856
-1.272269,50,1358.745793
-1.603093,50,1360.218199
-1.465287,50,1361.946354
-1.341624,50,1363.30626
-0.775735,50,1364.734761
-1.314232,50,1366.120048
-1.087967,50,1367.655145
-1.802447,50,1368.816315
-1.259126,50,1370.170867
-1.12482,50,1371.248085
-1.268865,50,1372.939024
-1.346271,50,1374.377389
-1.522937,50,1375.939198
-0.372506,50,1377.375841
